EVENT_ID,CZ_NAME_STR,COUNTY,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
958794,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/26/2021,1000,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,158281,Z,31,MFR,0,0,Official NWS Observations, , , , , , , , ,6/30/2021,1257, , , , ,"On 06/26/21, the reported low temperatures in this zone ranged from 51 to 59 degrees and the high temperatures ranged from 91 to 98 degrees. On 06/27/21, the reported low temperatures in this zone ranged from 49 to 70 degrees and the high temperatures ranged from 94 to 103 degrees. On 06/28/21, the reported low temperatures in this zone ranged from 57 to 66 degrees and the high temperatures ranged from 95 to 105 degrees. On 06/29/21, the reported low temperatures in this zone ranged from 51 to 70 degrees and the high temperatures ranged from 91 to 107 degrees. On 06/30/21, the reported low temperatures in this zone ranged from 55 to 62 degrees and the high temperatures ranged from 93 to 101 degrees.","A historic heat wave affected the Pacific Northwest during this interval.  It was caused by a strong upper level ridge that created dry and stable conditions over the area with strong subsidence.  Many daily, monthly, and all-time high temperature records were set over southwest and south central Oregon.",26
1206116,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,7/6/2024,1200,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,194907,Z,31,MFR,0,0,Official NWS Observations, , , , , , , , ,7/13/2024,2100, , , , ,"Persistent high pressure brought excessive heat to Central and Eastern Lake County for 4 consecutive days from July 6th through July 9th, and on July 12th and 13th. Advisory conditions occurred on July 4th and 5th, and on July 10th and 11th. During the excessive heat, low temperatures were generally in the lower 40s to lower 60s, and high temperatures from 95 to 102 degrees.",A persistent ridge over the western states with an associated thermal trough extending from northern California into southern Oregon brought a long-duration heat wave.,133
1205019,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,7/20/2024,1200,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,194911,Z,31,MFR,0,0,Official NWS Observations, , , , , , , , ,7/23/2024,2200, , , , ,"On 07/20/24, reported low temperatures in this zone ranged from 43 to 66 degrees. Reported high temperatures ranged from 94 to 101 degrees. On 07/21/24, reported low temperatures ranged from 57 to 66 degrees. Reported high temperatures ranged from 90 to 100 degrees. On 07/22/24, reported low temperatures ranged from 46 to 61 degrees. Reported high temperatures ranged from 94 to 100 degrees. On 07/23/24, reported low temperatures ranged from 42 to 61 degrees. Reported high temperatures ranged from 94 to 100 degrees.",A persistent ridge over the western states with an associated thermal trough extending from northern California into southern Oregon brought a long-duration heat wave.,137
749728,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/10/2018,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,125017,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
773867,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,9/14/2018,200,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,129096,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
774525,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,9/15/2018,200,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,129252,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
834374,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/6/2019,2300,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,137896,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
817648,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/8/2019,0,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,136248,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
820252,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/21/2019,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,136736,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
885063,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/8/2020,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,147207,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
887491,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/17/2020,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,147537,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
953229,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/7/2021,200,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,157670,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
977070,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,9/29/2021,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,161821,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
992758,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,1/2/2022,1404,Winter Storm, , ,0,0,0,0,OR,PST-8, ,164447,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1020169,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/13/2022,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,168511,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1020174,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/14/2022,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,168512,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1020482,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/15/2022,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,168552,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1027056,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/20/2022,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,168744,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1089827,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,3/9/2023,1000,Winter Storm, , ,0,0,0,0,OR,PST-8, ,179021,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1098611,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/20/2023,115,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,180356,Z,31,MFR,0,0,RAWS,,,,,,,,,,,,,,,,,
1098612,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/21/2023,47,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,180357,Z,31,MFR,0,0,RAWS,,,,,,,,,,,,,,,,,
1129410,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,9/22/2023,0,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,184490,Z,31,MFR,0,0,RAWS,,,,,,,,,,,,,,,,,
1155607,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,1/9/2024,400,Winter Storm, , ,0,0,0,0,OR,PST-8, ,188151,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1155634,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,1/12/2024,400,Winter Storm, , ,0,0,0,0,OR,PST-8, ,188159,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1165315,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,2/4/2024,600,Winter Storm, , ,0,0,0,0,OR,PST-8, ,189469,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1165321,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,2/13/2024,2200,Winter Storm, , ,0,0,0,0,OR,PST-8, ,189471,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1165331,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,2/28/2024,1600,Winter Storm, , ,0,0,0,0,OR,PST-8, ,189476,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1168266,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,3/1/2024,0,Winter Storm, , ,0,0,0,0,OR,PST-8, ,190031,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1168466,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,3/4/2024,1000,Winter Storm, , ,0,0,0,0,OR,PST-8, ,190033,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1178619,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/15/2024,2325,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,191410,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1178623,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/17/2024,150,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,191413,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1178628,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,6/17/2024,2325,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,191415,Z,31,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1225038,CENTRAL & EASTERN LAKE COUNTY (ZONE),Lake,12/26/2024,458,Winter Weather, , ,1,1,50000,0,OR,PST-8, ,198119,Z,31,MFR,0,0,Law Enforcement,,,,,,,,,,,,,,,,,
965968,CENTRAL COAST RANGE OF W OREGON (ZONE),Lincoln,6/26/2021,1000,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,158241,Z,4,PQR,0,0,Trained Spotter, , , , , , , , ,6/28/2021,1800, , , , ,"Very hot temperatures. There were three consecutive days with maximum temperatures greater than 95 degrees measured at several stations, with two consecutive days greater than100 degrees . The hottest day was on June 27 where temperatures peaked around 109 degrees.","A high pressure heat dome over the region led to stretch of extreme heat, shattering records from June 26 through June 29. All time max temperatures were broken by 8 to 10 degrees. Widespread fatalities occurred due to the heat (123 in total), as many were without air-conditioning, as well as an increase in the number of drownings. Widespread closures and postponements of businesses and events also occurred. Multnomah County had the largest number of fatalities in the state with 73 deaths directly related to the heat.",21
965929,CENTRAL COLUMBIA RIVER GORGE (ZONE),Multnomah,6/26/2021,1200,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,158241,Z,16,PQR,0,1,Broadcast Media, , , , , , , , ,6/29/2021,1800, , , , ,"Temperatures across the area reached into the 100s and lower 110s over a three day period. This lead to many people seeking locations to cool off. A young girl drowned in the Hood River on Wednesday, June 30.","A high pressure heat dome over the region led to stretch of extreme heat, shattering records from June 26 through June 29. All time max temperatures were broken by 8 to 10 degrees. Widespread fatalities occurred due to the heat (123 in total), as many were without air-conditioning, as well as an increase in the number of drownings. Widespread closures and postponements of businesses and events also occurred. Multnomah County had the largest number of fatalities in the state with 73 deaths directly related to the heat.",38
981005,CENTRAL COLUMBIA RIVER GORGE (ZONE),Multnomah,8/11/2021,1400,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,161089,Z,16,PQR,0,0,AWOS, , , , , , , , ,8/12/2021,2000, , , , ,"In Hood River, at Ken Jernstedt Airfield (K4S2), it was 104 degrees on the 11th and 102 degrees on the 12th.","Hot weather began to develop August 9, peaking August 11-12, but temperatures continued above normal into the weekend. Peak afternoon temperatures of 100 to 105 degrees drove people to seek relief in or near bodies of water. Heat caused slowdowns on the MAX light rail (Portland metro area) systems, and some businesses did close due to the heat. Cooling shelters were opened in several counties.",68
873248,CENTRAL COLUMBIA RIVER GORGE (ZONE),Multnomah,1/15/2020,1100,Winter Storm, , ,0,0,0,0,OR,PST-8, ,145435,Z,16,PQR,0,0,Department of Highways,,,,,,,,,,,,,,,,,
946320,CENTRAL COLUMBIA RIVER GORGE (ZONE),Multnomah,2/11/2021,700,Winter Storm, , ,0,0,0,0,OR,PST-8, ,156618,Z,16,PQR,0,0,Trained Spotter,,,,,,,,,,,,,,,,,
1025877,CENTRAL COLUMBIA RIVER GORGE (ZONE),Multnomah,4/10/2022,2000,Winter Storm, , ,0,0,0,0,OR,PST-8, ,166832,Z,16,PQR,0,0,Trained Spotter,,,,,,,,,,,,,,,,,
1164628,CENTRAL COLUMBIA RIVER GORGE (ZONE),Multnomah,1/18/2024,300,Winter Storm, , ,0,0,0,0,OR,PST-8, ,189336,Z,16,PQR,0,0,Mesonet,,,,,,,,,,,,,,,,,
903948,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,8/14/2020,1000,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,149942,Z,23,MFR,0,0,Official NWS Observations, , , , , , , , ,8/16/2020,2000, , , , ,High temperatures in this zone ranged from 89 to 110 degrees. Low temperatures in this zone ranged from 46 to 66 degrees.,High pressure and a dry air mass supported very hot temperatures over inland areas during this interval. Minimum temperatures were quite warm as well. The heat was occasionally tempered by high clouds streaming over the area.,3
958783,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,6/26/2021,1000,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,158281,Z,23,MFR,0,0,Official NWS Observations, , , , , , , , ,6/29/2021,120, , , , ,"On 06/26/21, the reported low temperatures in this zone ranged from 54 to 65 degrees and the high temperatures ranged from 103 to 110 degrees. On 06/27/21, the reported low temperatures in this zone ranged from 56 to 71 degrees and the high temperatures ranged from 111 to 115 degrees. On 06/28/21, the reported low temperatures in this zone ranged from 57 to 75 degrees and the high temperatures ranged from 98 to 111 degrees. On 6/27/21, Roseburg set an all-time high temperature record of 114 degrees, the old record was 109 degrees set on 8/15/2020.|On 06/26/21, Roseburg set a record for highest temperature in June with 105 degrees. This record was broken the following day.","A historic heat wave affected the Pacific Northwest during this interval.  It was caused by a strong upper level ridge that created dry and stable conditions over the area with strong subsidence.  Many daily, monthly, and all-time high temperature records were set over southwest and south central Oregon.",30
963766,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,7/29/2021,1000,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,159351,Z,23,MFR,0,0,Official NWS Observations, , , , , , , , ,7/30/2021,1927, , , , ,"On 07/29/21, the reported low temperatures in this zone ranged from 55 to 65 degrees and the high temperatures ranged from 94 to 105 degrees. On 07/30/21, the reported low temperatures in this zone ranged from 61 to 67 degrees and the high temperatures ranged from 92 to 98 degrees.",Strong high pressure brought another heat wave to southern Oregon.,50
967008,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,8/10/2021,1200,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,159959,Z,23,MFR,0,0,Official NWS Observations, , , , , , , , ,8/14/2021,1117, , , , ,"On 08/10/21, the reported low temperatures in this zone ranged from 52 to 58 degrees and the high temperatures ranged from 94 to 101 degrees. On 08/11/21, the reported low temperatures in this zone ranged from 53 to 64 degrees and the high temperatures ranged from 97 to 105 degrees. On 08/12/21, the reported low temperatures in this zone ranged from 58 to 67 degrees and the high temperatures ranged from 101 to 106 degrees. On 08/13/21, the reported low temperatures in this zone ranged from 57 to 70 degrees and the reported high temperatures ranged from 87 to 103 degrees. On 08/14/21, the reported low temperatures in this zone ranged from 56 to 66 degrees and the high temperatures ranged from 94 to 97 degrees. On 08/15/21, the reported low temperatures in this zone ranged from 56 to 66 degrees and the high temperatures ranged from 84 to 100 degrees. The Roseburg airport recorded a high temperature of 98 degrees on 08/10/21, setting a new record high for that date. The old record was 97 degrees, set in 2014.",A strong ridge supported a heat wave over inland areas of southwest and south central Oregon during this interval.,56
1128620,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,8/13/2023,1200,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,184355,Z,23,MFR,0,0,Official NWS Observations, , , , , , , , ,8/17/2023,400, , , , ,"On 08/13/23, reported low temperatures ranged from 56 to 65 degrees. Reported high temperatures ranged from 97 to 107 degrees. On 08/14/23, reported low temperatures ranged from 60 to 74 degrees. Reported high temperatures ranged from 103 to 109 degrees. On 08/15/23, reported low temperatures ranged from 62 to 74 degrees. Reported high temperatures ranged from 97 to 108 degrees. On 08/16/23, reported low temperatures ranged from 59 to 72 degrees. Reported high temperatures ranged from 100 to 108 degrees. Record high temperatures were reported at Roseburg  Regional Airport of 109 degrees on 8/14/23, and 108 degrees on 8/16/23.",Strong persistent ridging over the Pacific Northwest supported a prolonged heat wave over inland portions of southwest Oregon.,117
1206108,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,7/5/2024,1200,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,194907,Z,23,MFR,0,0,Official NWS Observations, , , , , , , , ,7/9/2024,2100, , , , ,"Persistent high pressure brought excessive heat to central Douglas County for 5 consecutive days from July 5th through July 9th. Low temperatures were generally in the mid 50s to lower 60s, and high temperatures in the mid 90s to 108 degrees. But, a peak reading was recorded on July 6th of 111 degrees at Highway 42 near the Coos County line by ODOT. Record high temperatures were set at Roseburg of 104 degrees on July 5th, 108 degrees on July 6th, 107 degrees on July 7th, 108 degrees on July 8th, and 106 degrees on July 9th.",A persistent ridge over the western states with an associated thermal trough extending from northern California into southern Oregon brought a long-duration heat wave.,130
1217966,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,9/5/2024,1330,Excessive Heat, , ,0,0,0,0,OR,PST-8, ,196904,Z,23,MFR,0,0,ASOS, , , , , , , , ,9/5/2024,1633, , , , ,"Persistent high pressure brought excessive heat to Central Douglas County during the hottest day of the episode on September 5th. Low temperatures were generally in the mid 50s to lower 60s, and high temperatures in the upper 90s to 105 degrees. A record high temperature was set at Roseburg Regional Airport of 105 degrees.","A strong ridge over the western states with a thermal trough extending from northern California to near the southern Oregon coast brought a few days of hot temperatures, with extreme heat during the hottest day.",139
849675,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,10/10/2019,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,141514,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
850316,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,10/11/2019,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,141630,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
853759,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,10/28/2019,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,142207,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
854269,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,10/29/2019,200,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,142208,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
875256,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,4/2/2020,2100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,145645,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
918174,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,10/25/2020,400,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,152447,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
918624,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,10/26/2020,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,152506,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
942090,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,4/9/2021,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,156130,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
942251,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,4/11/2021,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,156132,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
986729,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,11/17/2021,100,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,163426,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
992563,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,12/25/2021,800,Winter Storm, , ,0,0,0,0,OR,PST-8, ,164418,Z,23,MFR,0,0,COOP Observer,,,,,,,,,,,,,,,,,
1007873,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,4/15/2022,0,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,166629,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1089843,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,3/27/2023,1600,Winter Storm, , ,0,0,0,0,OR,PST-8, ,179025,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1139876,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,10/29/2023,150,Frost/Freeze, , ,0,0,0,0,OR,PST-8, ,185708,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1155599,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,1/9/2024,400,Winter Storm, , ,0,0,0,0,OR,PST-8, ,188151,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1165333,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,2/28/2024,1600,Winter Storm, , ,0,0,0,0,OR,PST-8, ,189476,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
1168257,CENTRAL DOUGLAS COUNTY (ZONE),Douglas,3/1/2024,0,Winter Storm, , ,0,0,0,0,OR,PST-8, ,190031,Z,23,MFR,0,0,Official NWS Observations,,,,,,,,,,,,,,,,,
